"ProbeID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol","Entrez_Gene_ID","Mean_RRMS","Mean_SPMS","Delta_abs"
"ILMN_1757569",8.42004451944444,19.6794732375,3.36363479921937,0.00140666893824902,0.999537311363859,-4.58237971885438,"GSK3A",2931,16.6723144805556,25.092359,8.42004451944445
"ILMN_1732807",-7.89600201833333,2.9977693625,-3.25776842878505,0.00192712285179989,0.999537311363859,-4.58311900590678,"GPRC6A",222545,5.81777008333333,-2.078231935,7.89600201833333
"ILMN_1677041",38.6186783333333,175.347281785714,3.25407354271185,0.00194822074973155,0.999537311363859,-4.58314466131088,"CHUK",1147,161.554896666667,200.173575,38.6186783333333
"ILMN_1784175",8.15978889722222,15.8747585732143,3.25370004138624,0.00195036553302095,0.999537311363859,-4.5831472541389,"KIAA1383",54627,12.9605482527778,21.12033715,8.15978889722222
"ILMN_2052487",-4.22221125833333,-8.85652463392857,-3.2404650467595,0.00202781910491734,0.999537311363859,-4.58323906226818,"GPR45",11250,-7.34859204166667,-11.5708033,4.22221125833333
"ILMN_1666305",7.27281953055556,3.00127236607143,3.17173006988861,0.00247888211168127,0.999537311363859,-4.58371364955517,"CDKN3",1033,0.403836819444444,7.67665635,7.27281953055556
"ILMN_1675013",-4.82242083777778,2.34384229142857,-3.16207258095677,0.0025493449649022,0.999537311363859,-4.58378002341147,"MGC22014",200424,4.06613544777778,-0.75628539,4.82242083777778
"ILMN_1741014",-5.83733761666667,-2.22816719785714,-3.1514785178201,0.00262880346915491,0.999537311363859,-4.58385274430244,"SLC28A3",64078,-0.143403763333333,-5.98074138,5.83733761666667
"ILMN_1683992",10.9647407194444,18.7447657089286,3.12814502522489,0.00281208553648509,0.999537311363859,-4.58401257598371,"OXSM",54995,14.8287868805556,25.7935276,10.9647407194444
"ILMN_2120210",-12.5798469906667,12.276419995,-3.12324347588485,0.00285208049154593,0.999537311363859,-4.58404609139552,"RCAN2",10231,16.7692224916667,4.189375501,12.5798469906667
"ILMN_1765244",7.76302675938889,3.81001903053571,3.11919346328479,0.00288552907056575,0.999537311363859,-4.5840737684477,"NEUROG3",50674,1.03750947361111,8.800536233,7.76302675938889
"ILMN_1696266",8.34106547222222,25.0557829821429,3.11329580827687,0.00293489545777393,0.999537311363859,-4.58411404627008,"XRCC3",7517,22.0768310277778,30.4178965,8.34106547222222
"ILMN_1657058",5.75399325583333,-2.29947586696429,3.10245849342006,0.00302767968131484,0.999537311363859,-4.58418797936936,"PPIL6",285755,-4.35447345833333,1.3995197975,5.75399325583333
"ILMN_2372124",-3.20960169666667,0.492078321428571,-3.08818294209637,0.00315409881398981,0.999537311363859,-4.5842852087287,"HNF4A",3172,1.63836464166667,-1.571237055,3.20960169666667
"ILMN_1695978",13.1601963591667,11.4132110366071,3.08698853029463,0.00316489718413782,0.999537311363859,-4.58429333544615,"LINGO2",158038,6.71314090833333,19.8733372675,13.1601963591667
"ILMN_1690253",-5.73890194777778,-1.86755523571429,-3.07433720728374,0.00328141918290407,0.999537311363859,-4.58437933496923,"SYNPO2L",79933,0.182052602777778,-5.556849345,5.73890194777778
"ILMN_2120636",-4.15780382861111,-4.99833226017857,-3.06860808160677,0.00333549596303532,0.999537311363859,-4.58441823161484,"TPRXL",NA,-3.51340232138889,-7.67120615,4.15780382861111
"ILMN_2123182",-4.63780339138889,1.35643861232143,-3.06707580326819,0.00335009969639325,0.999537311363859,-4.5844286295722,"IL26",55801,3.01279696638889,-1.625006425,4.63780339138889
"ILMN_2129668",-6.96758161333333,9.15950032857143,-3.06521569035564,0.00336790830780506,0.999537311363859,-4.58444124928978,"TGFB1",7040,11.6479223333333,4.68034072,6.96758161333333
"ILMN_1665207",-6.73199299777778,5.56611653928571,-3.05622132034366,0.0034552759792518,0.999537311363859,-4.58450222537509,"C10orf85",404216,7.97039975277778,1.238406755,6.73199299777778
"ILMN_1671158",32.5425170277778,52.4789209821429,3.05496302142549,0.00346766620703209,0.999537311363859,-4.5845107498472,"MRPL13",28998,40.8565934722222,73.3991105,32.5425170277778
"ILMN_2137312",4.2947857575,3.39213199875,3.04497154018722,0.0035675349597167,0.999537311363859,-4.5845783855998,"KCNJ5",3762,1.8582799425,6.1530657,4.2947857575
"ILMN_2198594",-4.19199453555555,3.485891465,-3.04000682080315,0.00361815290661669,0.999537311363859,-4.58461195859563,"RFPL1S",NA,4.98303237055556,0.791037835,4.19199453555556
"ILMN_1688480",7.89585221111111,17.4140216071429,3.02907680591135,0.00373196402341143,0.999537311363859,-4.58468578849973,"CCND1",595,14.5940743888889,22.4899266,7.89585221111111
